"units","year","F-gases","N2O","CH4","CO2-LULUCF","CO2-FFI"
"GtCO2e",1750,7.8699254692245e-05,0.241332,1.0662543,NA,NA
"GtCO2e",1751,7.8699254692245e-05,0.238602,1.0630737,NA,NA
"GtCO2e",1752,7.8699254692245e-05,0.237783,1.0628226,NA,NA
"GtCO2e",1753,7.8699254692245e-05,0.238329,1.0654173,NA,NA
"GtCO2e",1754,7.8699254692245e-05,0.243516,1.0758519,NA,NA
"GtCO2e",1755,7.8699254692245e-05,0.242424,1.0752102,NA,NA
"GtCO2e",1756,7.8699254692245e-05,0.238875,1.074429,NA,NA
"GtCO2e",1757,7.8699254692245e-05,0.247884,1.0860354,NA,NA
"GtCO2e",1758,7.8699254692245e-05,0.246246,1.0829664,NA,NA
"GtCO2e",1759,7.8699254692245e-05,0.244881,1.0881558,NA,NA
"GtCO2e",1760,7.8699254692245e-05,0.247884,1.0959957,NA,NA
"GtCO2e",1761,7.8699254692245e-05,0.247884,1.0927872,NA,NA
"GtCO2e",1762,7.8699254692245e-05,0.243516,1.0919223,NA,NA
"GtCO2e",1763,7.8699254692245e-05,0.245154,1.0937358,NA,NA
"GtCO2e",1764,7.8699254692245e-05,0.239967,1.0829106,NA,NA
"GtCO2e",1765,7.8699254692245e-05,0.247611,1.0996227,NA,NA
"GtCO2e",1766,7.8699254692245e-05,0.245427,1.0968327,NA,NA
"GtCO2e",1767,7.8699254692245e-05,0.245427,1.0998738,NA,NA
"GtCO2e",1768,7.8699254692245e-05,0.256074,1.1152746,NA,NA
"GtCO2e",1769,7.8699254692245e-05,0.250341,1.1088018,NA,NA
"GtCO2e",1770,7.8699254692245e-05,0.25116,1.1114802,NA,NA
"GtCO2e",1771,7.8699254692245e-05,0.245427,1.1072952,NA,NA
"GtCO2e",1772,7.8699254692245e-05,0.243516,1.1086065,NA,NA
"GtCO2e",1773,7.8699254692245e-05,0.243516,1.114884,NA,NA
"GtCO2e",1774,7.8699254692245e-05,0.253344,1.1376225,NA,NA
"GtCO2e",1775,7.8699254692245e-05,0.250887,1.1373156,NA,NA
"GtCO2e",1776,7.8699254692245e-05,0.245973,1.1376783,NA,NA
"GtCO2e",1777,7.8699254692245e-05,0.251979,1.150038,NA,NA
"GtCO2e",1778,7.8699254692245e-05,0.257166,1.1620071,NA,NA
"GtCO2e",1779,7.8699254692245e-05,0.250614,1.1620908,NA,NA
"GtCO2e",1780,7.8699254692245e-05,0.254982,1.1757897,NA,NA
"GtCO2e",1781,7.8699254692245e-05,0.25389,1.1732508,NA,NA
"GtCO2e",1782,7.8699254692245e-05,0.250341,1.1767104,NA,NA
"GtCO2e",1783,7.8699254692245e-05,0.250068,1.1758176,NA,NA
"GtCO2e",1784,7.8699254692245e-05,0.248157,1.1721348,NA,NA
"GtCO2e",1785,7.8699254692245e-05,0.252525,1.1834622,NA,NA
"GtCO2e",1786,7.8699254692245e-05,0.250341,1.1821509,NA,NA
"GtCO2e",1787,7.8699254692245e-05,0.254163,1.1923065,NA,NA
"GtCO2e",1788,7.8699254692245e-05,0.264537,1.209744,NA,NA
"GtCO2e",1789,7.8699254692245e-05,0.258531,1.2026853,NA,NA
"GtCO2e",1790,7.8699254692245e-05,0.259896,1.2065355,NA,NA
"GtCO2e",1791,7.8699254692245e-05,0.254163,1.199421,NA,NA
"GtCO2e",1792,7.8699254692245e-05,0.253617,1.1959056,NA,NA
"GtCO2e",1793,7.8699254692245e-05,0.252525,1.1956266,NA,NA
"GtCO2e",1794,7.8699254692245e-05,0.262899,1.2133989,NA,NA
"GtCO2e",1795,7.8699254692245e-05,0.259896,1.2079584,NA,NA
"GtCO2e",1796,7.8699254692245e-05,0.254436,1.2048336,NA,NA
"GtCO2e",1797,7.8699254692245e-05,0.261261,1.2120039,NA,NA
"GtCO2e",1798,7.8699254692245e-05,0.266175,1.2177513,NA,NA
"GtCO2e",1799,7.8699254692245e-05,0.26208,1.2162726,NA,NA
"GtCO2e",1800,7.8699254692245e-05,0.263991,1.2227733,NA,NA
"GtCO2e",1801,7.8699254692245e-05,0.263718,1.2241404,NA,NA
"GtCO2e",1802,7.8699254692245e-05,0.26208,1.2295251,NA,NA
"GtCO2e",1803,7.8699254692245e-05,0.259623,1.2282696,NA,NA
"GtCO2e",1804,7.8699254692245e-05,0.260988,1.2322314,NA,NA
"GtCO2e",1805,7.8699254692245e-05,0.264264,1.2441726,NA,NA
"GtCO2e",1806,7.8699254692245e-05,0.264264,1.2483018,NA,NA
"GtCO2e",1807,7.8699254692245e-05,0.266448,1.2562812,NA,NA
"GtCO2e",1808,7.8699254692245e-05,0.276822,1.2761739,NA,NA
"GtCO2e",1809,7.8699254692245e-05,0.271635,1.2725469,NA,NA
"GtCO2e",1810,7.8699254692245e-05,0.273273,1.2794382,NA,NA
"GtCO2e",1811,7.8699254692245e-05,0.269997,1.2774573,NA,NA
"GtCO2e",1812,7.8699254692245e-05,0.26754,1.2770388,NA,NA
"GtCO2e",1813,7.8699254692245e-05,0.267813,1.2818376,NA,NA
"GtCO2e",1814,7.8699254692245e-05,0.277914,1.301535,NA,NA
"GtCO2e",1815,7.8699254692245e-05,0.276276,1.299582,NA,NA
"GtCO2e",1816,7.8699254692245e-05,0.273819,1.3026789,NA,NA
"GtCO2e",1817,7.8699254692245e-05,0.277095,1.3109931,NA,NA
"GtCO2e",1818,7.8699254692245e-05,0.284466,1.31967,NA,NA
"GtCO2e",1819,7.8699254692245e-05,0.279006,1.3217904,NA,NA
