"units","year","gwp","F-gases","N2O","CH4","CO2-LULUCF","CO2-FFI"
"GtCO2",1959,1,NA,NA,NA,8.69276672,8.85511213089139
"GtCO2",1960,1,NA,NA,NA,7.61056768,9.38695137787726
"GtCO2",1961,1,NA,NA,NA,7.63015786666668,9.41499048971172
"GtCO2",1962,1,NA,NA,NA,7.13840021333332,9.74724078035388
"GtCO2",1963,1,NA,NA,NA,6.95333157333332,10.2667776649263
"GtCO2",1964,1,NA,NA,NA,6.65991845333332,10.8244696515311
"GtCO2",1965,1,NA,NA,NA,6.38542378666668,11.3106028787786
"GtCO2",1966,1,NA,NA,NA,5.91714016,11.8626252205013
"GtCO2",1967,1,NA,NA,NA,6.25052752,12.2373707369267
"GtCO2",1968,1,NA,NA,NA,6.32712954666668,12.9052736614675
"GtCO2",1969,1,NA,NA,NA,6.94054421333332,13.7617973882848
"GtCO2",1970,1,NA,NA,NA,6.68967013333332,14.8991384106531
"GtCO2",1971,1,NA,NA,NA,6.1393984,15.5038636542694
"GtCO2",1972,1,NA,NA,NA,6.43808768,16.2245805648349
"GtCO2",1973,1,NA,NA,NA,6.2542648,17.0772860456979
"GtCO2",1974,1,NA,NA,NA,6.31299872,16.9979116008594
"GtCO2",1975,1,NA,NA,NA,6.12349664,16.9884767467091
"GtCO2",1976,1,NA,NA,NA,6.06028042666668,17.8624917118661
"GtCO2",1977,1,NA,NA,NA,6.62009077333332,18.3580386723109
"GtCO2",1978,1,NA,NA,NA,6.56389722666668,19.0247413288263
"GtCO2",1979,1,NA,NA,NA,5.85582922666668,19.5085904751921
"GtCO2",1980,1,NA,NA,NA,6.00131445333332,19.4097930327308
"GtCO2",1981,1,NA,NA,NA,5.83658101333332,18.8797566451356
"GtCO2",1982,1,NA,NA,NA,5.53155301333332,18.729742372032
"GtCO2",1983,1,NA,NA,NA,5.83985418666668,18.9017750433701
"GtCO2",1984,1,NA,NA,NA,6.42479957333332,19.4572497464238
"GtCO2",1985,1,NA,NA,NA,6.7877432,20.1448629771107
"GtCO2",1986,1,NA,NA,NA,6.94331664,20.4380448371231
"GtCO2",1987,1,NA,NA,NA,6.49794522666668,21.1061902622319
"GtCO2",1988,1,NA,NA,NA,6.15668026666668,21.9187559778065
"GtCO2",1989,1,NA,NA,NA,5.98082048,22.2002124324437
"GtCO2",1990,1,NA,NA,NA,5.82906981333332,22.7321436785245
"GtCO2",1991,1,NA,NA,NA,5.72029786666668,23.205590955424
"GtCO2",1992,1,NA,NA,NA,5.96789877333332,22.520424066334
"GtCO2",1993,1,NA,NA,NA,5.73329285333332,22.7498720810602
"GtCO2",1994,1,NA,NA,NA,6.66890746666668,22.9745983386163
"GtCO2",1995,1,NA,NA,NA,6.2780808,23.5166378905133
"GtCO2",1996,1,NA,NA,NA,6.54182773333332,24.233476730689
"GtCO2",1997,1,NA,NA,NA,8.01961664,24.3803213280557
"GtCO2",1998,1,NA,NA,NA,6.79223770666668,24.2957129989419
"GtCO2",1999,1,NA,NA,NA,6.5618576,24.8377706690914
"GtCO2",2000,1,NA,NA,NA,6.14576154666668,25.5114834739944
"GtCO2",2001,1,NA,NA,NA,5.46070346666668,25.692993596663
"GtCO2",2002,1,NA,NA,NA,6.09369610666668,26.265331542741
"GtCO2",2003,1,NA,NA,NA,7.32120938666668,27.6526904833319
"GtCO2",2004,1,NA,NA,NA,6.44386458666668,28.6100239904904
"GtCO2",2005,1,NA,NA,NA,5.93111221333332,29.5989504477668
"GtCO2",2006,1,NA,NA,NA,6.03374085333332,30.5941517061124
"GtCO2",2007,1,NA,NA,NA,5.59320592,31.4992555222183
"GtCO2",2008,1,NA,NA,NA,5.95101994666668,32.0496602871252
