"em","country","sector","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"CH4","abw","1A1a_Electricity-autoproducer","ktCH4",5.99039630839992e-05,4.58293328248421e-05,4.19748650891706e-05,5.63209719950754e-05,5.55537041823214e-05,2.4039147215988e-05,8.22863362720803e-05,3.89070704298709e-05,3.49958652085212e-05,3.37191144607103e-05,4.08172734823214e-05,3.39222031256812e-05,2.96314694822581e-05,1.74934397737233e-05,3.19549848876854e-05,3.7739246393984e-05,8.86181768169713e-06,1.8970139355457e-05,2.88682205122564e-05,2.52069571176286e-05,0.0001052987240005,8.23857729474824e-05,7.1760171190988e-05,6.59154449508324e-05,7.81955223525746e-05,7.26129318063061e-05,4.74897612881318e-05,8.50171666150434e-05,0.00011197215072199,0.000107987802599478,8.01311281572081e-05,8.94385291731397e-05,0.000422269024661247,0.000404490971298996,0.000478755044331628,0.000380380174627506,0.000440594129141159,0.000464300450168736,0.00045391565160372,0.00048422037432764,0.0002944149754384,0.000216043433744895,0.000254866630642036,0.00043876844574407,0.000488163800449459,0.000545782787881777,0.000471256901747066,0.000466425828559707,0.000561118984758939,0.000625175327456411,0.00058549589032331,0.00059394574736571,0.000625653853188915,0.000633881581171297
"CH4","abw","1A1a_Electricity-public","ktCH4",0.000416929821651133,0.000392749462692221,0.000436312049210647,0.000426627668030367,0.00033084224032955,0.000343999087836659,0.000608521547037688,0.000311903618751374,0.000286312755813997,0.000289657393975499,0.000301633097309543,0.000341937313521946,0.000378104713738307,0.000171212478127107,0.000443710727115603,0.00052927000266452,9.45237467497392e-05,0.000252977379021964,0.000355609471334343,0.000381763359942357,0.00366774841371138,0.00404128653943937,0.00379724843505904,0.00382819675571712,0.00440875179864944,0.00487262344438864,0.00326753532095532,0.00531438896953882,0.005643015777531,0.00562626396146653,0.00438438324708326,0.00453005977915614,0.00451010367108993,0.00527342083305103,0.00537834707295274,0.00593014465534896,0.00685073810084857,0.00753375600234199,0.00766106163457221,0.00819483838763551,0.00776178014502969,0.00535255583158597,0.00658134802151783,0.00723813400214533,0.00758454229870358,0.00781101442523731,0.00772836575692522,0.00736641225478026,0.00746057891720764,0.00720431035763117,0.0065581910553126,0.00671094869282008,0.00703886198286356,0.00745563713394366
"CH4","abw","1A1a_Heat-production","ktCH4",3.97361487279274e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80562445670587e-05,2.68229894541564e-05,1.94405237334493e-05,2.21064582875867e-05,0.000101658727971959,0.00011397665890753,0.000120668325463908,0.000131161633497464,0.000150465004548329,0.000152884666983381,0.000122865956453772,0.000125131614989082,0.000137828534556945,0,0,0,0,0,0,0,0,2.74800355331634e-05,2.5089508332561e-05,2.49595337941704e-05,2.73196776846521e-05,2.73744582997121e-05
"CH4","abw","1A1bc_Other-transformation","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2a_Ind-Comb-Iron-steel","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2b_Ind-Comb-Non-ferrous-metals","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2c_Ind-Comb-Chemicals","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2d_Ind-Comb-Pulp-paper","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2e_Ind-Comb-Food-tobacco","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16419272138944e-05,4.92833225413067e-05,3.99477817874815e-05,4.29182586439481e-05,4.53900729424256e-05,5.27543843794559e-05,4.28600117160556e-05,6.08718856715465e-05,1.15781958847884e-05,1.44705086561091e-05,1.46518701178654e-05,1.59460110050263e-05,2.67763427409842e-05,2.99717880720169e-05,3.0441680466384e-05,3.47953357555445e-05,3.89563342386452e-05,3.7155215213281e-05,3.84828096886398e-05,4.20759103243828e-05,4.36860904095614e-05,4.93345489986832e-06,4.80748195212631e-06,4.47146968964871e-06,4.27303574973363e-06,4.27446639048111e-06,4.27412740128546e-06,4.48540762080636e-06,4.69496547451028e-06,4.69023082599169e-06,4.04646281356582e-06,4.46699168162964e-06,4.67400742278069e-06,4.67372112140027e-06
"CH4","abw","1A2f_Ind-Comb-Non-metalic-minerals","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2g_Ind-Comb-Construction","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90855925043807e-06,3.85933964939622e-05,5.91747733463951e-05,8.39814955738227e-05,8.03091994056391e-05,8.63199075520322e-05,0.000113751331527419,8.36273036481991e-05,8.33761609851673e-05,0.00010748496622078,8.32675068488712e-05,5.91008467585048e-05,5.9069690084768e-05,5.90387644451488e-05,6.01979981290751e-05
"CH4","abw","1A2g_Ind-Comb-machinery","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2g_Ind-Comb-mining-quarying","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
