"em","country","fuel","units","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"CO2","abw","biomass","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","abw","brown_coal","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","abw","coal_coke","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","abw","diesel_oil","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90133024463361,19.8026604892673,29.7039907339009,34.3811860024237,70.2105136024456,59.0151300388844,77.8392659046403,54.2668165748361,48.4525272363254,63.3646422624623,55.1038499363299,57.8676027318485,63.6390720841192,60.8151582115449,58.8603665207845,52.5150956382326,48.7922617898869,59.6547432192539,55.0334482500021,71.4708215843807,79.3761977692568,57.2133993949246,85.1480819500005,71.8022884544464,65.5957813456697,56.4969927747178,89.8993266625398,52.8967937221365,37.4701060624168,38.3055078421282,43.3113570095115,45.5249247510955,47.3148767644517,24.4074647651149,67.8564947848457,72.4008022715632,13.4184622369621,34.6559199643552,48.3824667861099,60.5962601513739,189.876098930964,186.643507772065,164.370275252916,169.569419098844,178.611546833724,186.38502017976,181.162782123592,193.643554212746,197.375390585943,195.325974081866,246.067135663214,267.694094673477,291.304282055786,294.590580187282,286.073349861038,301.012622468602,321.39885480345,354.092841791219,370.332613082704,378.771613916416,346.410410692667,249.35150409151,258.245092228879,257.683380469098,262.354608350352,265.53440717236,267.029070715025,267.032305198443,268.155728718005,278.276243844318,261.999540744341,266.677237592432,279.777376353819,281.670161986657
"CO2","abw","hard_coal","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","abw","heavy_oil","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40286204659837,12.8057240931967,19.2085861397951,22.2331732739921,45.4028117142065,38.1631282832767,50.3360729398983,35.092551369555,31.3326431942197,40.9758136547859,35.6338330973258,37.4210604135946,41.1532783232829,39.3271468327824,38.0630478464307,33.959771508254,31.5523382680302,38.5767449242641,35.5883066605473,46.2178111077404,51.3299558284623,50.8340787019062,42.224052996778,50.7072712947261,36.7458288640372,37.9903768724645,81.4192398644357,37.0096995769869,40.3901901900395,40.3809631383241,41.7364542171788,46.9834444253954,51.9690806131508,23.038198340549,54.9611609100243,69.7870280818333,12.9346456998406,34.2357719691429,49.4853729203536,47.9136133496824,708.272911004147,782.835299394667,721.634775541321,745.190286090168,743.232972208911,770.017846689733,778.80133940786,803.52539737282,753.7270442681,828.662222096668,952.213762807187,906.181866767652,187.014400958042,207.037944020149,212.256638998291,215.94241027878,218.543059814786,240.010571506556,246.753716984445,258.010932030501,234.975469090716,127.786713638243,154.892986228174,152.680229282057,143.82920149759,149.545490275058,147.701526153294,155.814968289056,152.680229282057,143.82920149759,138.850498368828,148.807904626353,156.552553937762,170.55988771114
"CO2","abw","light_oil","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64987594457398,15.2997518891479,22.6158880138259,25.7831245904538,51.8324518395735,42.8654636285314,55.5951605114156,38.0895114300222,33.4000658654142,42.8698705862359,36.5647260869205,37.6337336281401,40.5319448771819,37.9027180959745,35.8674715282367,31.2604475002507,28.3456767760574,33.7888084548525,30.3589637516146,38.3558870909693,41.3918281165421,41.8807024055297,38.2465176569108,45.5077666001744,38.5753083283776,26.8031722396591,59.2734986024836,30.9674057844214,29.2299739873869,33.0627548513129,33.1302127673546,39.9344740494274,43.7997187570078,23.5403220862806,57.2907362160803,68.350710366509,12.3869815145512,32.0059477002861,45.9258786300795,53.8256529885641,136.203512528685,151.679459056854,128.042544771807,126.818187897939,130.833952908905,132.31999145147,134.863413864096,149.393532136918,141.332626910698,144.465402579404,179.877032513204,176.560418693088,182.733705905203,181.396973701228,178.835289884468,184.913319210683,192.465367869042,205.509629902984,208.546125784776,230.682347018723,226.591707856947,179.51499796205,172.525684516806,176.572129143,182.825725383481,192.022190443013,195.700776466825,195.700776466825,202.322231309687,215.197282393031,169.214957095375,177.491775648953,185.216806298959,193.697431584523
"CO2","abw","natural_gas","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","abw","process","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32083333333333e-06,2.7e-06,4.1375e-06,5.63333333333334e-06,7.18749999999999e-06,8.8e-06,1.04708333333333e-05,1.22e-05,1.39875e-05,1.58333333333333e-05,1.85166666666667e-05,2.14e-05,2.44833333333333e-05,2.77666666666666e-05,3.125e-05,3.49333333333334e-05,3.88166666666667e-05,4.29e-05,4.71833333333334e-05,5.16666666666667e-05,5.535e-05,5.91380952380952e-05,6.30309523809524e-05,6.70285714285714e-05,7.11309523809526e-05,0.000123129886968601,0.000176961470754474,0.000232625703738569,0.000290122585920888,0.000349452117301431,0.000415410470914967,0.000484492658389112,0.000556698679723865,0.000632028534919225,0.000710482223975192,0.000792059746891763,0.000876761103668947,0.000964586294306736,0.00105553531880513,0.00114960817716414,0.00121729533928743,0.00128472009936641,0.00135188245740111,0.00141878241339152,0.00148541996733763,0.00155179511923947,0.001617907869097,0.00168375821691024,0.00174934616267919,0.00181467170640385,0.00186693937581477,0.00191801165813504,0.00196788855336463,0.00201657006150358,0.00206405618255186,0.00211034691650949,0.00215544226337644,0.00219934222315276,0.00224204679583839,0.00228355598143338,0.00248116145903529,0.00268597632867632,0.00289800059035642,0.00311723424407561,0.00334367728983394,0.00357732972763133,0.00381819155746787,0.0040662627793435,0.0043215433932582,0.00458403339921203,0.00526543006920762,0.00597139666437629,0.00670193318471807,0.00745703963023294,0.00823671600092095,0.00904096229678201,0.00986977851781622,0.0107231646640235,0.0116011207354039,0.0125036467319574,0.0130461391429809,0.0135998074514426,0.0141646516573425,0.0147406717606807,0.0153278677614571,0.0159262396596719,0.0165357874553247,0.0171565111484159,0.0177884107389453,0.0184314862269129,0.018708947232968,0.0189864082390231,0.0192638692450781,0.0195413302511332,0.0198187912571883,0.0200962522632434,0.0203737132692984,0.0206511742753536,0.0209286352814086,0.094258078657686,0.167698704211939,0.241430892680018,0.27690871998499,0.542496223276525,0.461366825440285,0.601895374129234,0.429716849194535,0.388559630564822,0.500217044216315,0.440705821641849,0.462273825328913,0.516183727560218,0.506879716937366,0.504233770425284,0.469221655983262,0.454009986061402,0.547089195562945,0.52469773283956,0.65500157266642,0.720021823894711,0.657851961659398,0.67656937573969,0.694235006331159,0.712000184773783,0.730059717520719,0.749979895587927,0.768337657131867,0.787271143580456,0.809642831823343,0.833832806876955,0.865717989696345,0.899837829572519,0.938463609243041,0.972344500177328,1.00152179870189,1.03706211446121,1.05775416742631,1.07543141880998,1.09981439886275,1.14232573307914,1.24431588689103,1.35597746122604,1.49980997470441,1.6613765985583,1.81697903858158,1.94877534015808,2.06640470554194,2.16802530562463,2.25233700143893,2.43978434785536,2.45575345715819,2.50187579763025,2.47090676244879,2.45198104001851,2.41679101564148,2.44157503306929,2.45942701044414,2.45163063069117,2.49742811364655,2.5066923899918,2.53787579885835,2.45076670967417,2.49711121742206,2.54924288014752,2.54881986814476,2.55017991303689,2.55232549838555,2.5555794332785,2.55950188502889,1.7132869246208,1.71109374670343,1.70903274287351,1.70822818355811
"CO2","afg","biomass","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
