"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"N2O","abw","biomass","ktN2O",0.000361860682556751,0.000372780832161539,0.000349824592372505,0.000356493709436832,0.00035023576977134,0.000336580710103024,0.000332921474562682,0.000333968964217527,0.000327279925595029,0.000329669474204089,0.000356946031220158,0.000347378573702828,0.000353482713047702,0.000354693508662916,0.000366220149502155,0.0003691559953978,0.000375207639754681,0.000317546687203402,0.000319106109925924,0.000337268639415664,0.000572531951792882,0.000590412469820801,0.000611152014477205,0.000649964817191824,0.000720111191305184,0.00072999295887257,0.000552589151277013,0.000905793090773921,0.00113581636859851,0.000958634090305382,0.000365599886500882,0.000372300004502978,0.000430157775476319,0.000479303832436941,0.000534010403892633,0.000559972467373711,0.000477791794965772,0.000544427893808208,0.000417512086525088,0.000505042251287228,0.000463645724467614,0.000312971403011703,0.000339486364445283,0.000316529504464428,0.000278398509669272,0.00028681041737093,0.000293766807624051,0.000340236130588835,0.000335348935030463,0.000331733428322901,0.000288623857882912,0.000292941346625277,0.000292941346625277
"N2O","abw","brown_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","coal_coke","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","diesel_oil","ktN2O",7.31021438881419e-05,5.06795770990579e-05,7.24197328017436e-05,6.17971851560309e-05,5.64988807839473e-05,4.80525959692295e-05,0.000107520298636791,6.0679761745155e-05,4.89849956828222e-05,5.21531259739083e-05,5.77372172627978e-05,3.80913325197828e-05,3.96878707766695e-05,2.05657276279665e-05,0.000162443525342669,0.000171150326753858,3.21060685573604e-05,8.37042445640101e-05,0.000127291027909771,0.00014886080122745,0.000847767057471589,0.00086063167479499,0.000600749685095848,0.000654720047521503,0.000700537730085252,0.000726772604034417,0.000550942132574873,0.00087245942937873,0.00102177576645961,0.000820706589791771,0.000435545867782836,0.00046239085004789,0.000725956854148389,0.000802371085367051,0.000833363559411953,0.000960118727253203,0.00109096007033484,0.00133490378652939,0.00128456744252463,0.0013803495132586,0.00129766813491244,0.000877696933779895,0.00134797378524551,0.00146757997167218,0.00154251892364302,0.00156638611918718,0.00158113190503001,0.00157606121047296,0.00158635524223082,0.00160094039820721,0.00149703794272697,0.00152565453249301,0.00159929787742236
"N2O","abw","hard_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","heavy_oil","ktN2O",4.33900956251355e-05,4.12646559316551e-05,3.4294165583506e-05,4.11850276639438e-05,2.99035157938234e-05,3.08643776132191e-05,6.61994494084841e-05,3.01606931558841e-05,3.31369482365049e-05,3.31591546724132e-05,3.39443048419872e-05,4.01217927570708e-05,4.65056322864305e-05,2.10335038342417e-05,5.01950670448326e-05,6.89216110711651e-05,1.0716561489119e-05,2.95638723874778e-05,4.93359893827202e-05,4.91546662344944e-05,0.000710471425624244,0.000787978324972804,0.000723735439939684,0.000768961609634394,0.000837217618008192,0.000901429224789384,0.000633026907706542,0.000951279286832908,0.00092870388993563,0.000927506757159921,0.000788399834972766,0.000802726842115743,0.000558595983549679,0.000674813235358767,0.000707861711511459,0.000770685259625872,0.00082035572010017,0.000836519998384315,0.000803431897275235,0.000852314706811846,0.000827732822297035,0.000461989615118274,0.000646701578547899,0.000715329321287517,0.000724595575000968,0.000750332216701058,0.000744165217591758,0.000826692805496126,0.00078916816688211,0.000778860931308017,0.00077729145823095,0.00083530883256958,0.000802215151594281
"N2O","abw","light_oil","ktN2O",0.000457239268497917,0.000457173118774229,0.000425821325809035,0.000499054062823474,0.000435920879966066,0.000422761254392856,0.000948506682566235,0.000485918949633318,0.000440572208934607,0.000461436732134444,0.000543412129639129,0.000650396421341986,0.000758597883139503,0.000407948102810777,0.00113222320699918,0.00129754356925267,0.000236684457827116,0.00060225774736248,0.000878756807762912,0.00101169899437311,0.00343447966542971,0.00412332792061146,0.00365765401513871,0.00374484697408241,0.00399684574946057,0.00486311576012045,0.00359658025762613,0.00681496949642853,0.00859633862555286,0.0100162963237128,0.00415482258689306,0.00427439908803591,0.00438064486442889,0.00502767432992253,0.00533810412921092,0.00597724488708615,0.00685420712184464,0.00718191345201732,0.00681378341951511,0.00712617397497997,0.0070023542275612,0.00344319311910791,0.00458745236062385,0.00532886211396959,0.00550317927225075,0.00532898395236881,0.00481800554401428,0.00485197378197665,0.0050304736319586,0.00521433160045568,0.00440258940688747,0.00464133164916257,0.00512114568725921
"N2O","abw","natural_gas","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","process","ktN2O",0.00365950408983909,0.00375322430267608,0.00388114063560542,0.00392299128427419,0.00395591479213952,0.00414386804794933,0.00429278296081097,0.00464121966758143,0.0049192810539584,0.00496808554675552,0.00535069270202343,0.00545127974178115,0.0055223732965242,0.00559103088813004,0.0059573247410433,0.00615197785417385,0.00662122825751542,0.00683148312997908,0.00711324744005891,0.00795581905736416,0.00959569644059455,0.0103303870098174,0.0111488345822576,0.0118266948994134,0.0129886804439943,0.0139830090909342,0.0110192463854479,0.0153349412153635,0.0156869633081929,0.0155249433337294,0.0130704032375816,0.013252323400953,0.0137325799519901,0.0149186604926149,0.0151267380223515,0.0159655495377533,0.0165404056847774,0.0174396419810657,0.0174046377862196,0.0188035290759663,0.0185274829095782,0.0135813115940976,0.0163722178585717,0.0176491042625517,0.0183748013953542,0.0183092991599838,0.0188026789751417,0.01823143255994,0.0191229842288284,0.0208549094969531,0.0188678217679831,0.0185448853633976,0.019008944463121
"N2O","afg","biomass","ktN2O",0.013649932207662,0.0140977829874685,0.0143200790437527,0.0145977955806396,0.0148503257125644,0.0151407888896395,0.0155334695071029,0.0158841258299825,0.0162815865216323,0.0168844519728423,0.0169747810526142,0.0167190307471478,0.0162361786373478,0.0157300780208239,0.0150971959337234,0.01571193789443,0.0155003931277522,0.0154551816737058,0.0152943580030552,0.0152756593075031,0.0288316360953196,0.0294493547554868,0.0302940589464415,0.0307635995400942,0.0322335584922657,0.0451171378960309,0.0515359786269956,0.0567178221515314,0.0578931234761075,0.0604241217145852,0.0596980350624781,0.0611917979868891,0.0631936541931914,0.06527767668327,0.0666176116079762,0.0680523370856263,0.0694754813353082,0.0839820070419049,0.103499335427712,0.120545895854863,0.132248268867683,0.150113682681315,0.137106435161939,0.129136820679854,0.123035230938131,0.123666430109486,0.119707889220445,0.122846441558251,0.122836293422972,0.124587449817517,0.124554459610998,0.125568815781898,0.125568815781898
