"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"N2O","abw","biomass","ktN2O",0.000333532424064306,0.000342197713480372,0.000322973431047542,0.000328231377930842,0.000322957224831966,0.000310850054485255,0.000307815005633584,0.0003079365807956,0.000302050525370084,0.000303688889992132,0.000329554374787775,0.000321729856710075,0.000327004214679147,0.000328596861911743,0.000339831546488431,0.000342693418994261,0.000347621419559742,0.000294391748695695,0.000295796029147262,0.000313214395353456,0.000544355934492519,0.000561168799138166,0.000581338710525117,0.000615072139238699,0.000688273767631831,0.000702833174313302,0.000533059791857856,0.000874796803785,0.00110472495846057,0.000965623376103734,0.000349915140647034,0.000356040079756454,0.00043702133214462,0.000481804047530725,0.000530178682312456,0.000565307117362179,0.000492717839137025,0.000563937352217535,0.000449549170732387,0.000522791033875108,0.000496131674888767,0.000310939487812719,0.000328467607460398,0.000309568743924215,0.000292665813540365,0.000304624150607927,0.000304409659966723,0.000344881407767536,0.000348266716425697,0.000350519630928744,0.000307085446755221,0.000311596136178485,0.000321414390943606,0.000321414390943606
"N2O","abw","brown_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","coal_coke","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","diesel_oil","ktN2O",9.65904940351297e-05,6.92882269163969e-05,0.000100779042045944,8.55731547973243e-05,7.78263042703245e-05,6.65776219166631e-05,0.000134579356414892,7.71114254268638e-05,5.99727853125344e-05,6.3255794466351e-05,6.99820545789829e-05,5.22373132464162e-05,5.44735711583163e-05,2.80090919918207e-05,0.000177559412675507,0.000187397945532866,3.50020794402349e-05,9.12069293599274e-05,0.000137235950087195,0.000162056514416622,0.000861541361308307,0.000871959295099338,0.000616619310089955,0.000661595463764502,0.000717321338565776,0.000749182165468165,0.000563847539435846,0.000890961011600629,0.00103712499928258,0.000862369515381888,0.00045235493778037,0.000480343790599681,0.000848217280747828,0.000937299490646567,0.000960908718969791,0.00110063893648103,0.00129428452724266,0.00153900134957345,0.00150665128970361,0.0016110715754111,0.00149721133986849,0.00104384564452807,0.00150369339634076,0.00161950640226371,0.00174670785344755,0.00177094054367306,0.00178681581092498,0.00178105592088182,0.00179138215737668,0.00181409548825028,0.00170775615277238,0.00173961533925564,0.00182250051495366,0.00183483032816264
"N2O","abw","hard_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","heavy_oil","ktN2O",5.97161188548557e-05,5.89942489080505e-05,4.90036838529808e-05,5.88490660857762e-05,4.2650849006022e-05,4.409098120891e-05,9.44982223162502e-05,4.29607296195164e-05,4.71487180414957e-05,4.71538711672626e-05,4.84417171316862e-05,5.62005345941244e-05,6.41985801693186e-05,2.88164630686585e-05,6.86464050328363e-05,9.21819804825166e-05,1.5029411613506e-05,4.09437873622481e-05,6.56875306394515e-05,6.4538398223791e-05,0.000912234814718006,0.0010057407614327,0.000925693665936901,0.000920693510329386,0.00102513556881651,0.00111248957441013,0.000761015546042279,0.00116278586052322,0.00115787005745268,0.0011853261387078,0.000963438286651853,0.000986956527332158,0.000660819555264333,0.000798248952456384,0.000837727314102319,0.000908744450462545,0.00100776179947088,0.00102369354142035,0.00100542640315946,0.00107141195461714,0.00101601370305313,0.000570843330330701,0.000791361081496601,0.000853278064784589,0.000863016744055788,0.000893113674053402,0.000888317284758433,0.000948234555889737,0.000927087281562101,0.000916766614007832,0.00089977814399016,0.000955906358403301,0.00100824346007716,0.00109845471703143
"N2O","abw","light_oil","ktN2O",0.000502098524035734,0.000507664308839669,0.000448951158795072,0.000524371454934401,0.000465649998440901,0.000438536217053247,0.000985885899875366,0.000502890042835085,0.000457788471125538,0.00047782142205467,0.000562465131864758,0.000673180800639623,0.000785619210504995,0.000420222736261236,0.00115261160346564,0.00134128477491011,0.000244163358656168,0.000624914339000733,0.000905628487551006,0.00105365355267861,0.00359580059448493,0.00429271281017403,0.00379934683742837,0.00386506052323709,0.00421283041332954,0.00511564388215558,0.00378419718417187,0.00721677389452829,0.00907346337547338,0.0105751995578447,0.00452854384149449,0.00454521727971895,0.00466460212012193,0.00532991722286758,0.00561750071254929,0.00632652587384785,0.00721920797304901,0.0076015624182218,0.00725574603895318,0.00767608677068094,0.00754782546047129,0.00384475692315758,0.00486181871126135,0.00544544433827117,0.00586451676427775,0.00569861512099742,0.00519061679238822,0.00525633965841668,0.00535892751283067,0.00567271615196698,0.00459463570668065,0.00483854078026132,0.00506863962544924,0.00530619158143571
"N2O","abw","natural_gas","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","process","ktN2O",0.00377784547938875,0.00388884772780783,0.00417544489419202,0.00415505996196719,0.00417762035920695,0.00455630177017882,0.0045345214398328,0.00500760827931457,0.00520109354806637,0.00527061035428274,0.00565482823659231,0.00580917904541087,0.0058976523823368,0.00594824884584443,0.00648886543225146,0.00666264332444963,0.00711514199924386,0.00743978360093206,0.00775062509362926,0.00902725813492741,0.0105971386540802,0.0116092384393842,0.0125813426156837,0.0128078898410427,0.0141325463905999,0.0152229331510949,0.0118458924156638,0.0159890211742452,0.0165623127777427,0.016659399706448,0.0137333936124483,0.0138506288577946,0.0144963135533761,0.0157102377329193,0.015849488024334,0.0167675265533956,0.0179993516764578,0.0188397316696652,0.0191723841062954,0.0207842245792585,0.0205507096470735,0.0153824103536076,0.0216016531381396,0.0227047871847168,0.0206561119475017,0.0211898961112368,0.0217969893199194,0.0212159576573977,0.0213826444513334,0.0240372080436549,0.0211127440225383,0.0224376716734068,0.0232388590607632,0.0232804305226698
"N2O","afg","biomass","ktN2O",0.0186815990241317,0.0192945311983568,0.0195987808777492,0.0199788825708786,0.020324511092304,0.0207219415197768,0.0212593848755788,0.0217393089279294,0.0222831764578453,0.0231111071970777,0.0232286879420438,0.0229024019408787,0.0222556292615738,0.0216187169126259,0.0207506551840695,0.0215835269571257,0.0212415099480853,0.0211634888768753,0.0209161288361907,0.0209330195181379,0.0425886761247618,0.0434497577769479,0.0447701945064015,0.0466148484078572,0.0485820853879194,0.0546963163420131,0.0562644014301359,0.060576514821401,0.0614799756222851,0.0646811519960082,0.0579492714557198,0.060526234258317,0.0623163890436612,0.0660212572787267,0.0672087800270371,0.0692505721305793,0.0708192086874356,0.0867672646514906,0.106446771954499,0.123264210981477,0.137140804670008,0.156471459805879,0.143471244456826,0.135609656732014,0.128007843216894,0.126279144606234,0.123125433160954,0.125871170064893,0.126040458518627,0.128536260289541,0.127857205278968,0.129101102412054,0.132229119836823,0.132229119836823
