"em","country","sector","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"N2O","abw","1A1a_Electricity-autoproducer","ktN2O",2.2322680607391e-05,1.70778944569033e-05,1.56415612371089e-05,2.09875107525181e-05,2.07015952063226e-05,8.95797502786403e-06,3.06632734862355e-05,1.44983747629088e-05,1.30408988222315e-05,1.25651289784456e-05,1.52101949904841e-05,1.26408081684312e-05,1.1041904326974e-05,6.51877519765901e-06,1.19077417375803e-05,1.40631954923457e-05,3.30227777137327e-06,7.06905420123489e-06,1.07574863668905e-05,9.39314903142566e-06,4.28548006907807e-05,3.5464428744286e-05,3.28653380429573e-05,3.32114344777737e-05,4.32693256832396e-05,4.71017937475608e-05,2.91857899138196e-05,5.42570194926579e-05,7.79037299467999e-05,7.54168802109168e-05,5.12341708428784e-05,5.57792694095653e-05,0.000167060362827567,0.000167629644810767,0.000187989554481776,0.000149476830594932,0.000139408607229762,0.000146301023526409,0.00014278221442908,0.000150949280697314,7.66352815109526e-05,4.93180895414804e-05,6.0865299395267e-05,0.000107792251039443,0.000117467443665428,0.000131274562632251,0.000112488522534892,0.000113594172882678,0.000137824980303804,0.000155986516391677,0.000148202938307216,0.000151122745007336,0.000158893493886086,0.000160194622490156
"N2O","abw","1A1a_Electricity-public","ktN2O",0.000114974124444478,0.000103897535242737,0.000127345198559681,0.00011665685721199,9.2688326969075e-05,9.64901881572782e-05,0.000158891508065038,8.5464103865568e-05,7.30740020211249e-05,7.43476310875574e-05,7.76226951014376e-05,8.84856571790189e-05,9.78190788230086e-05,4.47622563572585e-05,0.000120090842204534,0.000139655344125377,2.46900871714591e-05,6.63592140046559e-05,9.26634964276709e-05,0.000104319208066657,0.000838713990304763,0.000906958671248239,0.000836410743846306,0.000840221701588766,0.000960122511892854,0.00105726315474101,0.000706034861260444,0.00114553115610869,0.00115569212094092,0.00115509255831464,0.000906209815494708,0.000929147347761542,0.000867925817489301,0.00103942912064138,0.00105866936015505,0.00120603813157886,0.00142930039125557,0.00157490876440287,0.00159190262611008,0.00170101238616249,0.00164124496938191,0.00110514575878576,0.00137019005138662,0.00147813742342554,0.00154404792184589,0.00157055096945545,0.00157447734687909,0.00153815835571043,0.00157153256381136,0.001575458941235,0.0015047841476095,0.00153619516699861,0.00161374112111547,0.00167845103171926
"N2O","abw","1A1a_Heat-production","ktN2O",1.14414004209891e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43041896891117e-05,2.42565140161518e-05,1.51775872967658e-05,1.70290210106897e-05,4.53664553981636e-05,5.12735650331463e-05,5.26821905536021e-05,5.84790161510393e-05,4.01848536709848e-05,4.24972727309361e-05,3.4188314869561e-05,3.48707755092075e-05,3.87134790044283e-05,0,0,0,0,0,0,0,0,9.81594355909656e-06,9.81594355909656e-06,9.81594355909656e-06,1.07975379150062e-05,1.08705867973065e-05
"N2O","abw","1A1bc_Other-transformation","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A2a_Ind-Comb-Iron-steel","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A2b_Ind-Comb-Non-ferrous-metals","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A2c_Ind-Comb-Chemicals","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A2d_Ind-Comb-Pulp-paper","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A2e_Ind-Comb-Food-tobacco","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39443615804337e-06,9.95935894174846e-06,8.07262603666875e-06,8.58029255029469e-06,9.13031485460766e-06,1.06588669661843e-05,8.28172812514936e-06,1.19659876847783e-05,2.44319363071851e-06,3.03049670926557e-06,2.68535011249278e-06,2.95637403185601e-06,5.3538160579262e-06,6.06429943155563e-06,6.2021953509249e-06,6.78234700786878e-06,7.1608415933813e-06,7.15910182536854e-06,7.14830352397956e-06,7.76271799258642e-06,8.17372528669422e-06,7.59225542434772e-07,8.30500901004656e-07,8.79886460997355e-07,8.53493551653035e-07,8.53878149349349e-07,8.53684148428897e-07,8.95753933049772e-07,9.37470298567015e-07,9.36394501070594e-07,8.07757309314573e-07,8.91756099742148e-07,9.33139208646973e-07,9.33139208646973e-07
"N2O","abw","1A2f_Ind-Comb-Non-metalic-minerals","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A2g_Ind-Comb-Construction","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30438487572842e-07,2.16376055073612e-06,2.60654854873978e-06,3.79825060957384e-06,4.01878167499981e-06,4.28319104581233e-06,5.35398880726541e-06,4.28319104581233e-06,4.28319104581233e-06,5.35398880726541e-06,4.28319104581233e-06,3.21239328435925e-06,3.21239328435925e-06,3.21239328435925e-06,3.26915424160032e-06
"N2O","abw","1A2g_Ind-Comb-machinery","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A2g_Ind-Comb-mining-quarying","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A2g_Ind-Comb-other","ktN2O",7.0664022679033e-05,7.34365809229685e-05,5.70685354460275e-05,6.3952614832984e-05,5.97895083356561e-05,5.41298312164023e-05,5.24211840825246e-05,5.68625601347276e-05,5.38303341462828e-05,5.7825820139134e-05,5.80247377821842e-05,5.04803175773321e-05,5.36123594390643e-05,5.00406724735747e-05,4.97394348158107e-05,5.0029601123751e-05,5.27291890447572e-05,4.48214145748782e-05,4.57960554866021e-05,4.55443077598042e-05,0.00013216003270388,0.000150928547590781,0.000129158478011407,0.000121024125724862,0.000125075670255823,0.000136946138765463,0.000110714231897231,0.000133582384771362,0.000120930212043719,0.00012777992598232,0.000110466349976733,0.000110629267056472,0.000190940026233639,0.000185785515364389,0.000178139061921271,0.000167691790535085,0.000162041595396578,0.000148217707074376,0.000120651449969897,0.00014218548232144,0.000151304305122791,0.000219042985914314,0.000281958549227801,0.000217540513449499,0.000238404373348648,0.000247054990445211,0.000238926721956729,0.000377440191206075,0.000320914310676341,0.000282417939131124,0.00026789958117384,0.000311535450945475,0.000326098890595018,0.000341531822364406
"N2O","abw","1A2g_Ind-Comb-textile-leather","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A2g_Ind-Comb-transpequip","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A2g_Ind-Comb-wood-products","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A3aii_Domestic-aviation","ktN2O",6.88774118869417e-05,7.62243726814407e-05,3.62122241694103e-05,3.85561299405742e-05,4.56446219153765e-05,3.01835750264075e-05,7.09292450098954e-05,3.21915701514483e-05,3.16898825537472e-05,3.13685129215966e-05,3.42709707972735e-05,4.08629248733713e-05,4.77383580592254e-05,2.2396336138447e-05,4.61539539983037e-05,8.42728718943801e-05,1.47646298830132e-05,4.17242538747443e-05,5.36132947298313e-05,7.70813030696144e-05,0.000261028540151075,0.000290748649362888,0.00022508357280391,0.00020397687513791,0.00028686686545619,0.00033386809773877,0.00024465983102677,0.000495071449694941,0.000418504694387,0.00043921363149271,0.000420978202703259,0.00032708260093952,0.00032922608568207,0.00036224615689633,0.000365585986534489,0.00039908711880118,0.00040279982291289,0.0004405385082984,0.00046364580050824,0.000418656603330751,0.00039880853364827,0.000394619253051931,0.00039771532763387,0.00048423438285579,0.000515753403852561,0.000519969092535061,0.000500689608973172,0.000543717622244304,0.000461573233272143,0.000610215460936053,0.000297284455327821,0.000309019368038129,0.000324665918318541,0.000371830224020221
"N2O","abw","1A3b_Road","ktN2O",0.00011908151210519,0.00013121593649245,0.000117164205269695,0.000140849500102706,0.000129613563165177,0.000159412084071302,0.000363689685279374,0.000190451296902525,0.000165145340092085,0.000142860057719324,0.000245693681328972,0.00029270767289566,0.000372597142919783,0.000199320470239695,0.000574824543858287,0.000632356780390538,0.00011531060419456,0.000302278965135595,0.000425130196738372,0.000494414402371147,0.00226233146357895,0.00261308558605797,0.00251415081154427,0.00261737348087734,0.00282810674577067,0.00366306743447588,0.00274145719764825,0.00540306279598679,0.00715591971144504,0.00865459796141978,0.00370458414806475,0.00382242078891604,0.00398177615295819,0.00459932744304214,0.00483244168330332,0.00543396728144457,0.00638686069017399,0.00665025777986642,0.00647601487277773,0.00672598386183511,0.00669248301764627,0.00322554204984242,0.00423325513962985,0.00468549349157811,0.00509615716913952,0.00489907916062759,0.00433044039080467,0.00440299543051679,0.00452711907954891,0.0046801398243232,0.00400702804064844,0.00423379986088509,0.00444458733460992,0.00462558592082078
"N2O","abw","1A3c_Rail","ktN2O",6.49281341248644e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A3di_Oil_Tanker_Loading","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","1A3dii_Domestic-navigation","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63196982517895e-06,2.73076144487066e-06,0.000243485039629699,0.000257799473868446,0.000153998743492034,0.000228524337693419,0.000204820808224467,0.000198829954862799,0.000190378626634806,0.00017841258346846,0.000160088313770423,0.000167027546974875,0.000211229168656204,0.000222498029104817,0.00024028733460632,0.000256871368463106,0.000280579340800946,0.000309985718984416,0.000387054403179348,0.000344857893250225,0.000336161362659028,0.000313949707768517,0.000293053295888158,0.000275147787011155,0.000582012898173451,0.000592262292737107,0.00062424392792284,0.00063787063015074,0.000654610329008287,0.000654610329008287,0.000654610329008287,0.000665182770392001,0.00063346544624086,0.000644037887624574,0.000678838840512631,0.000698851501160575
