Party,Year,Sector,CTE_GOSAT,CTE_SURF,GELCA_SURF,LMDzPYVAR_GOSAT1,LMDzPYVAR_GOSAT2,LMDzPYVAR_GOSAT3,LMDzPYVAR_GOSAT5,LMDzPYVAR_GOSAT6,LMDzPYVAR_SURF1,LMDzPYVAR_SURF2,MIROCv4_SURF,NICAM_SURF,NTF-4DVAR_NIES_GOSAT,NTF-4DVAR_NIES_SURF,TM5-4DVAR_GOSAT1,TM5-4DVAR_GOSAT2,TM5-4DVAR_SURF1,TM5-4DVAR_SURF2,TM5-CAMS_GOSAT,TM5-CAMS_SURF,SURF_med,SURF_min,SURF_max,GOSAT_med,GOSAT_min,GOSAT_max,
ARE,2000,anthropogenic (method 1),,0.677343649,1.171433139,,,,,,,,1.081796909,1.128240739,,1.086337829,,,1.022316011,0.961943239,,0.616687359,1.022316011,0.616523011,1.234878139,,,,1.01E-07
ARE,2001,anthropogenic (method 1),,0.626113633,1.086782143,,,,,,,,1.045254073,0.962299513,,1.046887393,,,0.876011373,0.872810723,,0.584494123,0.927560678,0.584331373,1.138703143,,,,1.80E-05
ARE,2002,anthropogenic (method 1),,0.714587457,1.230340087,,,,,,,,1.032015377,1.043598277,,1.041065827,,,0.897953159,0.865702527,,0.683537197,0.944288492,0.683316159,1.272801087,,,,8.48E-06
ARE,2003,anthropogenic (method 1),,0.943469448,1.290947368,,,,,,,,1.118741098,1.170580198,,1.131093588,,,0.959744911,0.992012448,,0.739764968,1.056425948,0.739509911,1.335849368,,,,1.49E-06
ARE,2004,anthropogenic (method 1),,0.684414464,1.261886644,,,,,,,,1.122412284,1.110623364,,1.156542784,,,0.999826273,1.044707874,,0.719832614,1.083564669,0.664359273,1.314859784,,,,3.44E-06
ARE,2005,anthropogenic (method 1),,0.791263817,1.231535497,,,,,,,,1.144911997,1.078540737,,1.162493207,,,0.909992283,0.966403817,,0.660884897,1.037511817,0.660660283,1.275143207,,,,2.04E-06
ARE,2006,anthropogenic (method 1),,0.782036338,1.214087648,,,,,,,,1.193989688,1.121640248,,1.211752378,,,0.873380734,0.917072348,,0.703116848,1.031760343,0.702883734,1.256042378,,,,1.48E-06
ARE,2007,anthropogenic (method 1),,0.810571935,1.272420755,,,,,,,,1.215275155,1.210257465,,1.214514205,,,0.913002572,1.000285915,,0.732160795,1.086783535,0.731913572,1.315674205,,,,9.65E-07
ARE,2008,anthropogenic (method 1),,0.760262663,1.437158863,,,,,,,,1.257918903,1.240812943,,1.258182303,,,0.940024016,0.981229693,,0.910722093,1.097260178,0.724759016,1.476182303,,,,4.27E-07
ARE,2009,anthropogenic (method 1),,0.681789787,1.443917497,,,,,,,,1.192893447,1.210760787,,1.231399297,,,0.943720991,0.904049727,,0.784543357,1.059699757,0.613275991,1.498899297,,,,5.80E-06
