# Global Fire Emissions Database version 5 (GFED5) summary table. Data available for 1997-2024.  
# Please see www.globalfiredata.org for more information or contact guido.vanderwerf@wur.nl  
# Note that fire emission estimates carry substantial uncertainty  
#  
# CH4 emissions estimates in 1E10 g CH4 for the globe, different regions, and different fire types 

All fire types combined: 
                                                                                                           Year                                                                               (Beta) (Beta)  '97-'24  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021   2022   2023   2024 |    Mean 
BONA       54    166     64     56     30     80     56    217     99     67     50     53     58    106     67     66    150    117    188     46     96     52     90     11     93    108    593    255 |     111 
TENA       13     18     16     16     11     10     12     10     12     16     18     19     11     10     17     15     11     13     18     15     25     20      9     42     26     15     15     17 |      17 
CEAM       35    150     34     62     41     45     65     30     60     42     40     46     55     36     75     34     55     28     42     49     56     37     57     56     40     36     64     78 |      52 
NHSA       25     36     17     26     24     13     35     23     15     14     26     17     17     20     10     14     17     21     23     46     13     25     39     29     11     22     24     45 |      24 
SHSA      379    330    375    202    177    185    269    431    470    306    425    255    187    350    155    226    131    157    279    229    275    155    272    349    258    350    301    589 |     288 
EURO        9     10      7     14     10      5      8      7      8      7      9      7      6      4      8     10      5      5      5      6     13      5      7      5      6      8      5      7 |       8 
MIDE        2      4      3      2      3      2      2      2      3      3      4      2      5      4      4      3      4      3      4      4      4      2      3      4      3      2      2      3 |       4 
NHAF      299    383    318    402    253    247    252    271    278    234    280    284    248    242    271    267    237    240    280    336    290    253    236    296    269    256    276    308 |     279 
SHAF      302    404    294    297    384    366    365    346    395    331    330    366    382    382    363    367    416    363    412    418    375    370    383    369    402    354    400    413 |     370 
BOAS      175    412    195    237    216    326    512     98    176    234    132    261    186    199    247    573    284    257    150    365    183    248    389    443    443    146    199    236 |     269 
TEAS       52     41     30     34     48     51     38     40     43     42     54     64     49     38     27     38     28     48     42     25     38     26     34     31     22     24     25     24 |      38 
SEAS      116    190    168    119    119     91    160    214    165    150    192    144    190    226    136    194    190    192    169    203    129    130    211    195    189    108    205    170 |     167 
EQAS     1440    381    164    171     59    163    111    249    134    470     56     55    230     34    147    172     84    347    580     46     22     85    296     22     16     11    115     26 |     204 
AUST       60     56    104    104     95     72     65     68     46     76     65     43     72     33     79     75     56     61     60     56     67     73    193     95     44     39     77     50 |      71 
Global   2968   2586   1796   1749   1475   1663   1957   2012   1910   1998   1687   1623   1701   1691   1611   2061   1674   1859   2260   1850   1592   1487   2225   1952   1829   1484   2309   2227 |    1902 


Savanna, grassland, and shrubland fires: 

BONA        0      1      1      1      0      0      0      0      0      0      0      0      0      1      0      0      0      0      0      0      2      1      0      0      1      0      1      0 |       1 
TENA        4      6      5      6      3      2      3      3      4      6      7      5      3      3      6      6      4      3      5      5      6      6      3      8      7      4      3      5 |       5 
CEAM       16     68     16     30     25     26     26     15     27     18     20     22     25     19     30     18     26     14     20     26     28     19     26     25     19     19     26     26 |      25 
NHSA       10     12      7     10     12      7     11     10      8      7     11      8      7      7      4      5      7      9      8     10      6     10     11     12      5      7      9     13 |       9 
SHSA       87     84     79     49     69     64     81     94     96     79    115     78     58     97     61     77     56     61     80     72     83     49     67     79     65     68     65     76 |      75 
EURO        3      4      2      6      1      1      3      1      3      2      3      1      1      1      2      4      1      1      1      2      5      1      1      1      2      2      1      1 |       3 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF      226    311    260    323    213    212    206    218    223    188    219    233    200    193    213    212    196    193    219    255    227    198    177    217    197    187    191    208 |     219 
SHAF      263    346    255    256    354    342    317    292    326    277    289    317    317    323    310    310    338    309    331    335    314    303    313    314    321    297    327    314 |     312 
BOAS       12     16     10     11     16     15     21     15     10     17     11     19     13     14     11     10      5     13      8      6      5      7      7      6      9      9     10      4 |      12 
TEAS       16     13      9     10     10     16     14     14     13     14     13     15     12     12      8     10      7     13     12      6     10      7     10      9      7      7      6      5 |      11 
SEAS       75    115    101     69     83     61    103    130     98     96    115     92    119    132     84    123    116    116    101    121     88     84    130    116    123     71    126    104 |     104 
EQAS       40     21      9     10      2      6      3      8      5     12      4      4      8      2      6      6      4     10     14      2      1      3      6      1      0      1      4      2 |       7 
AUST       38     39     80     79     79     56     31     52     31     46     45     31     41     22     67     61     31     41     38     30     44     50     42     28     34     30     61     34 |      46 
Global    798   1041    840    865    873    813    826    859    850    768    860    830    812    831    808    850    798    788    843    875    826    743    799    822    796    708    836    799 |     828 


Boreal forest fires: 

BONA       42    149     55     42     24     75     50    215     96     64     47     50     55    101     65     63    144    110    184     43     86     43     89      9     83    105    577    248 |     105 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        1      0      0      0      0      0      0      0      0      1      0      0      1      0      0      0      0      1      0      0      0      1      0      0      0      0      0      2 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS      154    382    176    216    177    287    468     62    150    191    107    221    156    164    221    526    269    229    134    350    169    231    371    424    422    125    177    226 |     243 
TEAS       14     11      4      7      3      7      3      0      1      2     12      9      4      1      0      8      0      0      2      0      3      0      1      0      0      0      0      0 |       4 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global    212    544    237    267    205    371    522    278    249    261    168    282    217    268    288    600    414    342    321    394    259    277    462    434    506    232    755    477 |     352 


Temperate forest fires: 

BONA        1      1      1      1      0      0      1      0      0      0      0      0      0      0      0      0      0      1      0      0      2      5      0      0      5      1      6      1 |       1 
TENA        5      7      7      7      3      4      4      3      3      5      6      9      3      2      5      4      4      5      9      5     14     11      3     29     15      7      8      8 |       7 
CEAM        1      9      4      5      2      1      1      0      3      2      1      3      1      1     10      3      3      0      0      1      3      2      3      1      4      2      3      3 |       3 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      1      1      0      0      0      2      5      3      4      2      2      2      1      1      2      1      2      4      2      9      1      2      4      4      3      8      2 |       3 
EURO        1      1      1      2      0      0      1      0      1      1      1      0      0      0      1      1      0      0      1      1      4      0      1      1      2      3      1      1 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      1      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        2      5      4      3      0      0      0      0      1      0      1      1      0      1      0      0      1      1      1      1      1      2      1      0      0      0      1      2 |       2 
BOAS        4      7      5      4      8      9     10     10      5     12      6     11     10     12      6      5      2      9      5      3      4      6      5      3      7      5      6      2 |       7 
TEAS        7      5      5      5      4      2      3      5      4      4      5      7      7      7      4      2      5      7      5      4      4      4      5      6      5      6      5      5 |       5 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      0      1      0      0      1 |       1 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST       18     13     18     20     11     12     30     11     10     24     17     10     26      8      7      9     21     14     18     22     16     18    142     64      7      7     12     12 |      22 
Global     45     54     50     51     33     32     57     38     33     57     44     48     55     37     39     33     42     45     47     45     64     54    166    112     56     39     55     42 |      53 


Tropical forest fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM       10     56      8     20      9     13     29      7     21     15     13     15     22     11     27      8     20      8     16     16     18      9     20     23     12     10     27     42 |      18 
NHSA        7     13      4      8      7      3     15      6      2      3      9      4      4      6      2      3      4      5      7     19      3      8     18      8      3      7      7     21 |       8 
SHSA      257    208    251    127     88    100    161    284    328    189    277    129     88    218     72    108     55     79    167    122    153     87    153    188    142    234    185    450 |     175 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF       35     34     25     40     11      9     16     24     27     21     30     23     22     23     32     31     18     25     35     52     37     30     35     54     48     43     61     72 |      33 
SHAF       17     25     15     17     20     13     25     33     40     32     21     26     45     36     31     35     52     35     50     54     36     44     35     38     58     33     52     65 |      36 
BOAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TEAS        0      0      1      0      1      0      1      2      1      1      1      0      1      1      0      2      1      1      0      0      0      0      0      0      0      0      1      0 |       1 
SEAS       22     50     42     28     24     18     41     62     47     40     58     38     53     74     36     52     54     57     46     55     25     27     57     56     46     22     60     45 |      45 
EQAS      190     72     32     36     10     25     14     34     29     63     13     13     40      7     14     18     13     40     69      7      3      6     24      2      2      2      9      4 |      29 
AUST        0      0      1      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      0      0      0 |       1 
Global    541    462    384    279    173    185    306    456    500    367    425    251    278    381    219    260    220    255    394    328    279    217    345    373    314    355    405    702 |     345 


Peat fires: 

BONA        1      4      0      0      1      1      3      0      0      0      0      1      0      1      0      0      4      3      1      0      2      0      0      0      1      0      6      4 |       2 
TENA        1      1      1      1      0      0      0      0      0      1      0      0      0      1      1      0      0      0      0      0      1      0      0      0      0      0      0      0 |       1 
CEAM        3     11      2      4      1      1      4      2      4      1      3      2      3      2      3      1      2      2      2      2      2      2      4      3      1      1      4      4 |       3 
NHSA        7     10      5      7      4      2      8      6      4      3      5      4      4      6      2      4      5      6      7     15      3      6      9      8      2      5      6     10 |       6 
SHSA       29     32     38     22     13     15     18     40     36     29     24     41     33     28     15     36     14     10     24     29     24     14     45     74     43     42     40     56 |      31 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      1      0      1      1      1      0      0      1      1      0      1      0      0      0      0      0      0      0      0 |       1 
NHAF       15     18     14     18      4      3      8      8      8      8     11      9     10     11     11     10      9      9     12     14     11     11     13     12     11     14     10     14 |      11 
SHAF       17     22     15     17      5      6     18     17     24     17     15     17     16     18     17     18     21     15     26     24     20     17     32     13     20     19     17     29 |      19 
BOAS        0      2      0      1      3      1      4      4      4      4      2      0      1      0      2     27      5      0      0      3      1      1      1      5      1      2      3      2 |       3 
TEAS        1      1      0      0      0      0      0      0      0      0      1      1      1      0      0      1      1      1      2      1      1      1      2      1      2      3      2      1 |       1 
SEAS        7     15     13     10      3      4      8     13     10      7     10      7      9     11      7      8     11      9     13     14      6      7     13     13      8      5      9     10 |      10 
EQAS     1206    287    122    124     46    131     92    204     98    392     37     37    180     24    126    146     66    296    494     36     17     75    264     18     12      7    101     20 |     167 
AUST        0      0      1      1      0      1      1      0      1      1      1      0      1      0      0      0      1      1      1      1      1      1      5      1      0      0      0      0 |       1 
Global   1293    406    217    212     87    170    171    302    196    471    114    126    265    107    191    258    146    360    588    147     95    141    393    152    108    105    205    154 |     257 


Agricultural waste burning: 

