# Global Fire Emissions Database version 5 (GFED5) summary table. Data available for 1997-2024.  
# Please see www.globalfiredata.org for more information or contact guido.vanderwerf@wur.nl  
# Note that fire emission estimates carry substantial uncertainty  
#  
# N2O emissions estimates in 1E9 g N2O for the globe, different regions, and different fire types 

All fire types combined: 
                                                                                                           Year                                                                               (Beta) (Beta)  '97-'24  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021   2022   2023   2024 |    Mean 
BONA       25     70     27     26     13     33     22     88     41     27     21     21     24     44     27     27     60     47     77     19     40     22     37      5     38     44    240    103 |      46 
TENA        8     10      9     10      7      6      8      6      8     10     12     10      7      6     11     10      7      7     10      9     13     11      5     20     14      9      8     10 |      10 
CEAM       23     95     22     41     30     32     40     21     39     27     27     31     36     25     45     23     36     19     28     34     37     25     37     36     26     25     40     46 |      34 
NHSA       15     20     10     15     15      9     19     14     10      9     16     10     11     11      6      8     10     12     13     22      8     15     20     17      7     12     14     24 |      14 
SHSA      208    184    199    111    114    114    159    231    251    171    245    146    106    201     98    133     86    101    160    134    160     92    144    178    138    181    157    286 |     161 
EURO        6      7      5     10      7      3      5      5      6      5      6      4      4      3      6      7      4      3      3      4      8      3      4      3      4      5      3      4 |       5 
MIDE        1      2      2      1      2      1      1      1      1      2      2      1      3      2      2      2      2      2      3      2      2      1      2      2      2      1      1      2 |       2 
NHAF      255    334    279    349    234    229    227    243    247    207    243    254    219    212    235    232    211    210    240    287    251    218    197    247    224    212    225    248 |     242 
SHAF      269    357    261    263    357    341    323    301    340    287    294    323    331    334    321    320    355    318    349    352    325    316    325    323    341    307    343    339 |     322 
BOAS       78    176     85    102     98    143    220     48     77    104     60    118     83     89    107    233    117    112     66    151     78    104    162    183    185     65     85     97 |     116 
TEAS       33     26     19     22     34     36     28     29     32     30     35     43     33     26     18     24     18     33     29     17     26     18     22     21     14     14     15     15 |      26 
SEAS       87    134    120     84     91     70    116    150    116    108    134    105    137    157     99    141    134    136    119    144     98     97    150    136    139     81    147    122 |     120 
EQAS      344    104     45     48     15     41     27     61     36    112     17     17     59     10     35     41     22     82    136     12      6     20     65      5      4      3     27      7 |      51 
AUST       44     44     87     84     84     60     42     58     37     56     50     35     51     27     72     67     39     47     45     39     51     56     90     49     38     34     65     40 |      54 
Global   1401   1570   1176   1171   1106   1126   1244   1262   1245   1162   1168   1125   1108   1153   1089   1276   1107   1137   1284   1232   1110   1004   1268   1231   1180    997   1377   1349 |    1203 


Savanna, grassland, and shrubland fires: 

BONA        0      1      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      0      0      0      2      1      0      0      1      0      1      0 |       1 
TENA        4      5      5      5      3      2      3      3      4      6      7      5      3      3      6      6      3      3      5      5      6      6      3      7      7      4      3      5 |       5 
CEAM       15     62     14     27     23     24     24     14     25     16     18     20     23     17     27     16     24     13     18     23     25     17     24     23     17     17     24     24 |      22 
NHSA       10     12      7     10     11      7     10     10      8      7     10      7      8      7      4      5      7      8      8     10      6     10     10     11      5      7      9     13 |       9 
SHSA       86     83     78     48     69     64     81     93     96     78    114     77     58     96     61     76     56     62     78     72     83     48     65     78     64     68     64     75 |      74 
EURO        3      4      2      5      1      1      2      1      3      2      3      1      1      1      2      4      1      1      1      1      5      1      1      1      1      2      1      1 |       2 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF      221    302    253    314    210    209    204    216    220    184    215    229    196    190    208    207    192    189    213    251    222    194    172    212    192    182    186    204 |     214 
SHAF      255    336    248    248    344    331    306    282    315    268    280    305    306    312    301    300    326    298    320    322    303    291    302    302    310    287    315    303 |     301 
BOAS       11     15      9     10     15     14     20     14      9     16     10     18     12     14     10     10      5     12      8      6      5      7      6      6      8      9      9      4 |      11 
TEAS       15     13      9     10     10     15     14     14     13     13     13     15     12     11      8      9      7     12     11      6      9      7      9      9      6      6      6      4 |      11 
SEAS       68    103     91     62     74     55     91    114     87     84    101     82    106    117     76    110    103    103     90    109     79     76    115    102    110     64    112     93 |      93 
EQAS       36     19      8      9      2      5      3      7      4     11      4      4      8      2      5      6      4      9     13      2      1      3      5      1      0      0      4      1 |       7 
AUST       37     38     78     75     78     54     31     51     31     45     44     31     40     23     67     61     31     40     37     30     42     48     41     27     34     30     59     34 |      45 
Global    768    998    807    832    847    787    795    825    820    737    825    800    779    798    781    817    764    756    810    844    796    714    760    785    764    684    800    768 |     796 


Boreal forest fires: 

BONA       17     60     22     17      9     30     20     87     39     26     19     20     22     41     26     25     58     44     74     17     35     17     36      3     33     42    234    101 |      43 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS       62    155     71     88     72    116    190     25     61     78     43     90     63     67     90    214    109     93     54    142     68     94    150    172    171     51     71     91 |      99 
TEAS        6      4      1      3      1      3      1      0      0      1      5      4      1      0      0      3      0      0      0      0      1      0      0      0      0      0      0      0 |       2 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global     86    221     96    108     83    151    212    113    101    106     68    114     88    109    117    243    168    139    130    160    105    112    188    176    205     94    307    194 |     143 


Temperate forest fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      1      0      2      0 |       0 
TENA        1      2      2      2      1      1      1      1      1      1      2      3      1      0      1      1      1      1      3      1      4      3      0      9      5      2      2      2 |       2 
CEAM        0      3      1      1      0      0      0      0      0      0      0      1      0      0      3      1      0      0      0      0      1      0      1      0      1      0      1      1 |       1 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      1      1      1      0      0      0      0      0      0      0      0      1      0      3      0      0      1      1      1      2      0 |       1 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      0      1      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      1      1      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
BOAS        1      2      1      1      2      3      3      3      1      4      2      3      3      4      2      1      0      3      1      1      1      2      1      0      2      1      2      0 |       2 
TEAS        2      1      1      1      1      0      1      1      1      1      1      2      2      2      1      0      1      2      1      1      1      1      1      2      1      2      1      1 |       2 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        6      4      6      6      3      3     10      3      3      8      5      3      8      2      2      3      6      4      5      7      5      6     46     20      2      2      4      4 |       7 
Global     14     17     16     16     10     10     18     12     11     18     14     15     18     12     13     11     13     14     15     14     21     17     54     36     18     12     18     13 |      17 


Tropical forest fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        4     24      3      8      3      5     13      3      9      6      5      6      9      4     11      3      8      3      7      7      7      4      8     10      5      4     11     18 |       8 
NHSA        3      5      2      3      3      1      6      2      1      1      4      1      2      2      1      1      1      2      3      8      1      3      8      3      1      3      3      9 |       3 
SHSA      112     91    110     55     38     44     70    124    144     82    121     56     38     95     31     47     24     35     73     53     67     38     67     82     62    102     81    197 |      77 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF       15     15     11     17      5      4      7     10     12      9     13     10      9     10     14     13      8     11     15     23     16     13     15     23     21     19     27     31 |      15 
SHAF        7     11      6      7      8      6     11     14     17     14      9     11     19     16     13     15     23     15     22     23     15     19     15     17     25     14     22     28 |      16 
BOAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SEAS       10     22     18     12     10      8     18     27     20     17     25     16     23     32     16     23     23     25     20     24     11     12     25     24     20      9     26     20 |      20 
EQAS       83     31     14     15      4     11      6     15     12     27      5      5     17      3      6      8      5     17     30      3      1      2     10      1      1      1      4      1 |      13 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global    237    202    168    122     76     81    134    199    219    160    186    110    121    166     95    113     96    111    172    143    122     95    151    163    137    155    177    307 |     151 


Peat fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0 |       0 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
NHSA        1      1      1      1      0      0      1      1      0      0      0      0      0      1      0      0      0      1      1      2      0      1      1      1      0      1      1      2 |       1 
SHSA        5      6      7      4      2      2      3      7      6      5      4      7      6      5      2      6      2      2      4      5      4      2      8     13      8      7      7     10 |       6 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        2      3      2      3      0      0      1      1      1      1      2      1      1      2      2      1      1      1      2      2      2      2      2      2      2      2      1      2 |       2 
SHAF        3      4      2      3      1      1      3      3      4      3      2      3      3      3      3      3      3      2      4      4      3      3      5      2      3      3      3      5 |       3 
BOAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      1      0      0      0      0      0      0      1      0      0      0      0 |       1 
TEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SEAS        1      2      2      2      0      0      1      2      1      1      1      1      1      2      1      1      2      1      2      2      1      1      2      2      1      1      1      1 |       2 
