# Global Fire Emissions Database version 5 Beta (GFED5 Beta) summary table. Data available for 2002-2022. Data for   
# 1997-2001 and 2023 onwards will be added soon, please see www.globalfiredata.org for more details  
# 
# This is still a Beta version until the accompanying GFED5 paper is accepted. Please send any comments regarding data  
# format or inquiries to guido.vanderwerf@wur.nl  
# 
# CH4 emissions estimates in 1E10 g CH4 for the globe and the 14 GFED basis regions. 


Year         |   BONA   TENA   CEAM   NHSA   SHSA   EURO   MIDE   NHAF   SHAF   BOAS   TEAS   SEAS   EQAS   AUST |  Globe 
             |                                                                                                   |        
2002         |     76     10     46     13    189      5      2    271    402    282     53     94    143     76 |   1668 
2003         |     54     12     66     33    272      8      2    274    396    474     38    163     98     66 |   1962 
2004         |    209     10     30     22    428      7      2    296    375     92     41    218    212     71 |   2020 
2005         |     98     12     60     15    472      8      3    302    425    170     44    167    108     48 |   1939 
2006         |     59     16     42     14    306      7      3    254    357    220     43    153    386     78 |   1943 
2007         |     48     18     41     26    429     10      4    303    357    127     55    195     47     67 |   1733 
2008         |     47     19     47     16    258      7      2    311    397    233     64    147     45     45 |   1645 
2009         |     57     11     56     17    186      6      5    269    413    174     49    194    188     74 |   1703 
2010         |     96     10     36     19    351      4      4    262    412    188     38    230     26     35 |   1720 
2011         |     61     17     75      9    156      8      4    294    392    220     27    139    122     84 |   1616 
2012         |     62     16     35     13    226     10      3    290    396    522     38    199    137     80 |   2033 
2013         |    137     11     56     16    134      5      4    257    450    271     28    192     66     58 |   1693 
2014         |    113     13     28     20    160      5      3    261    394    237     48    196    272     64 |   1821 
2015         |    178     18     42     21    279      5      4    304    443    139     42    170    468     63 |   2184 
2016         |     43     15     50     39    226      6      4    367    449    340     25    206     37     57 |   1870 
2017         |     93     25     57     13    276     13      4    317    407    168     38    132     19     69 |   1637 
2018         |     51     20     37     25    155      6      2    274    400    230     26    133     73     77 |   1515 
2019         |     84      9     57     37    265      7      3    255    411    363     34    214    243    191 |   2179 
2020         |     11     42     56     28    341      5      4    323    400    413     31    198     19     96 |   1974 
2021         |     90     27     41     11    255      7      4    294    435    396     23    195     13     47 |   1843 
2022         |    105     15     37     20    338      8      2    258    356    132     24    108      9     39 |   1456 
             |                                                                                                   |        
'02-'22 mean |     84     17     47     20    271      7      3    287    403    257     39    173    130     71 |   1817 
