# Global Fire Emissions Database version 5 Beta (GFED5 Beta) summary table. Data available for 2002-2022. Data for   
# 1997-2001 and 2023 onwards will be added soon, please see www.globalfiredata.org for more details  
# 
# This is still a Beta version until the accompanying GFED5 paper is accepted. Please send any comments regarding data  
# format or inquiries to guido.vanderwerf@wur.nl  
# 
# CO2 emissions estimates in 1E13 g CO2 for the globe and the 14 GFED basis regions. 


Year         |   BONA   TENA   CEAM   NHSA   SHSA   EURO   MIDE   NHAF   SHAF   BOAS   TEAS   SEAS   EQAS   AUST |  Globe 
             |                                                                                                   |        
2002         |     25      6     31      8    104      3      1    251    352    103     39     67     30     78 |   1106 
2003         |     17      8     37     17    143      5      1    247    332    166     29    112     20     48 |   1188 
2004         |     67      6     20     12    201      4      1    262    309     40     32    145     44     73 |   1222 
2005         |     32      8     36      9    217      6      1    268    347     62     33    111     25     42 |   1204 
2006         |     19     10     25      9    150      5      2    221    295     83     32    104     78     66 |   1104 
2007         |     16     12     25     14    217      6      2    263    305     49     35    129     13     61 |   1154 
2008         |     15     11     29      9    131      4      1    276    334     89     43    102     12     39 |   1102 
2009         |     19      7     34     10     96      4      3    232    337     65     33    132     42     56 |   1074 
2010         |     31      6     23     10    179      3      2    228    346     71     27    151      7     29 |   1121 
2011         |     20     11     44      5     91      6      2    257    331     78     19     95     25     90 |   1080 
2012         |     20     11     23      7    122      7      2    247    329    170     25    137     28     80 |   1212 
2013         |     43      7     35      9     80      3      2    226    362     89     19    129     15     44 |   1069 
2014         |     36      7     18     11     93      3      2    224    325     85     34    130     55     55 |   1084 
2015         |     57     10     26     11    142      3      3    254    356     50     30    113     92     56 |   1210 
2016         |     14      9     32     18    120      4      2    311    359    113     17    139      8     43 |   1195 
2017         |     31     14     36      8    144      9      2    271    332     58     28     96      4     64 |   1103 
2018         |     17     12     24     14     82      3      1    235    321     78     19     94     14     68 |    987 
2019         |     27      5     35     18    126      4      2    206    329    121     24    144     44     95 |   1186 
2020         |      4     20     34     15    156      3      2    263    329    136     22    130      4     52 |   1176 
2021         |     29     15     26      6    122      4      2    242    347    132     16    136      3     42 |   1128 
2022         |     33      9     24     11    158      5      1    234    322     48     15     79      2     39 |    989 
             |                                                                                                   |        
'02-'22 mean |     27     10     29     11    137      4      2    248    333     90     27    118     27     58 |   1128 
