# Global Fire Emissions Database version 5 Beta (GFED5 Beta) summary table. Data available for 2002-2022. Data for   
# 1997-2001 and 2023 onwards will be added soon, please see www.globalfiredata.org for more details  
# 
# This is still a Beta version until the accompanying GFED5 paper is accepted. Please send any comments regarding data  
# format or inquiries to guido.vanderwerf@wur.nl  
# 
# N2O emissions estimates in 1E9 g N2O for the globe and the 14 GFED basis regions. 


Year         |   BONA   TENA   CEAM   NHSA   SHSA   EURO   MIDE   NHAF   SHAF   BOAS   TEAS   SEAS   EQAS   AUST |  Globe 
             |                                                                                                   |        
2002         |     32      6     32      9    115      3      1    235    343    127     38     70     38     60 |   1116 
2003         |     22      8     40     18    160      5      1    231    324    208     27    117     25     42 |   1237 
2004         |     87      6     21     13    232      5      1    247    304     46     29    152     55     59 |   1262 
2005         |     41      8     39     10    254      6      1    251    341     76     32    116     32     36 |   1249 
2006         |     25     10     27      9    172      5      2    210    289    100     30    109     99     56 |   1147 
2007         |     20     12     27     16    247      6      2    248    296     59     35    135     15     50 |   1174 
2008         |     20     10     31     10    146      4      1    259    324    108     43    106     15     35 |   1119 
2009         |     24      7     36     10    107      4      3    222    332     79     33    138     52     50 |   1103 
2010         |     41      6     25     11    202      3      2    216    336     87     25    159      9     27 |   1154 
2011         |     26     11     46      6     99      6      2    241    322     97     18    100     31     72 |   1082 
2012         |     26     10     23      8    134      7      2    236    322    217     24    142     35     67 |   1260 
2013         |     56      7     36     10     86      3      2    214    357    114     18    135     19     39 |   1104 
2014         |     47      7     19     12    102      3      2    213    319    106     33    137     69     47 |   1123 
2015         |     74     10     28     12    161      3      3    244    351     62     29    120    117     45 |   1266 
2016         |     18      9     34     20    134      4      2    293    354    144     17    145     10     39 |   1229 
2017         |     40     13     37      8    161      8      2    255    327     73     26     99      5     51 |   1113 
2018         |     22     11     25     15     92      3      1    222    318     99     18     97     18     56 |   1003 
2019         |     35      5     37     20    144      4      2    200    326    155     22    151     57     89 |   1254 
2020         |      5     20     36     17    178      3      2    252    324    175     21    137      5     49 |   1229 
2021         |     37     14     27      7    138      4      2    230    343    169     15    141      3     38 |   1175 
2022         |     43      9     25     12    183      5      1    217    311     60     15     82      3     34 |   1006 
             |                                                                                                   |        
'02-'22 mean |     35     10     31     12    155      4      2    235    327    113     26    123     34     50 |   1162 
