ISO3,Version,Source,Gas,Year,Category,CFluxes_yr
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2000,LULUCF,85.19887079
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2000,FOREST,-5.454009497
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2000,DEFORESTATION,84.45999781
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2000,HWP,-1.077161082
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2000,OTHER,7.270043553
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2001,LULUCF,82.86692668
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2001,FOREST,-8.060619462
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2001,DEFORESTATION,84.25317934
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2001,HWP,-1.015912514
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2001,OTHER,7.690279316
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2002,LULUCF,97.58601936
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2002,FOREST,-6.688791036
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2002,DEFORESTATION,103.8466132
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2002,HWP,-1.024729596
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2002,OTHER,1.452926766
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2003,LULUCF,96.10697541
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2003,FOREST,-3.140054872
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2003,DEFORESTATION,103.8701681
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2003,HWP,-1.764464678
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2003,OTHER,-2.858673187
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2004,LULUCF,104.4959386
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2004,FOREST,5.431904133
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2004,DEFORESTATION,103.7516542
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2004,HWP,-1.536052561
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2004,OTHER,-3.151567147
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2005,LULUCF,93.20233272
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2005,FOREST,-6.200954959
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2005,DEFORESTATION,103.9927032
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2005,HWP,-1.810078425
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2005,OTHER,-2.779337108
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2006,LULUCF,110.1488524
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2006,FOREST,-7.172386837
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2006,DEFORESTATION,116.1669193
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2006,HWP,-2.170192995
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2006,OTHER,3.324512969
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2007,LULUCF,117.3274414
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2007,FOREST,-6.579046248
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2007,DEFORESTATION,127.8186314
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2007,HWP,-1.707601682
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2007,OTHER,-2.204541984
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2008,LULUCF,93.36925983
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2008,FOREST,-8.671273382
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2008,DEFORESTATION,106.1046833
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2008,HWP,-1.276780412
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2008,OTHER,-2.787369671
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2009,LULUCF,69.96491383
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2009,FOREST,-7.511079579
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2009,DEFORESTATION,73.42394684
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2009,HWP,-1.87895762
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2009,OTHER,5.931004187
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2010,LULUCF,75.13866745
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2010,FOREST,-6.560686986
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2010,DEFORESTATION,73.11334291
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2010,HWP,-1.958677607
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2010,OTHER,10.54468913
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2011,LULUCF,52.97732857
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2011,FOREST,-6.645900802
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2011,DEFORESTATION,65.58199367
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2011,HWP,-1.809637961
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2011,OTHER,-4.149126334
ARG,V3.1 (NGHGI 2025),CRT_2024,CO2,2012,LULUCF,90.8544263
