Name;CAS;Acronym;Formula;Lifetime (yr);Radiative efficiency (W m-2 ppb-1);AGWP20 (W m-2 yr kg-1);GWP20;AGWP100 (W m-2 yr kg-1);GWP100;AGWP500 (W m-2 yr kg-1);GWP500;AGTP50 (K kg-1);GTP50;AGTP100 (K kg-1);GTP100;CGTP50 (yr);CGTP100 (yr)
Carbon dioxide;;;CO2;;1.33E-05;2.43E-14;1;8.95E-14;1;3.14E-13;1;4.28E-16;1;3.95E-16;1;0;0
Methane;;;CH4;11.8;0.000388;1.98E-12;81.2;2.49E-12;27.9;2.50E-12;7.95;4.73E-15;11;2.12E-15;5.38;2730;3320
Nitrous oxide;;;N2O;109;0.0032;6.65E-12;273;2.45E-11;273;4.07E-11;130;1.24E-13;290;9.19E-14;233;0;0
Trichlorofluoromethane;75-69-4;CFC-11;CCl3F;52;0.291;2.02E-10;8320;5.57E-10;6230;6.57E-10;2090;2.72E-12;6350;1.40E-12;3540;;
Dichlorodifluoromethane;75-71-8;CFC-12;CCl2F2;102;0.358;3.10E-10;12700;1.12E-09;12500;1.79E-09;5710;5.67E-12;13300;4.10E-12;10400;;
Chlorotrifluoromethane;75-72-9;CFC-13;CClF3;640;0.278;3.01E-10;12400;1.45E-09;16200;5.50E-09;17500;7.26E-12;17000;7.40E-12;18800;;
1,1,2,2-tetrachloro-1,2-difluoroethane;76-12-0;CFC-112;CCl2FCCl2F;63.6;0.282;1.37E-10;5620;4.13E-10;4620;5.25E-10;1670;2.06E-12;4810;1.19E-12;3020;;
1,1,1,2-tetrachloro-2,2-difluoroethane;76-11-9;CFC-112a;CCl3CClF2;52;0.246;1.15E-10;4740;3.17E-10;3550;3.74E-10;1190;1.55E-12;3620;7.95E-13;2010;;
1,1,2-trichloro-1,2,2-trifluoroethane;76-13-1;CFC-113;CCl2FCClF2;93;0.301;1.67E-10;6860;5.83E-10;6520;8.90E-10;2830;2.96E-12;6910;2.06E-12;5210;;
1,1,1-trichloro-2,2,2-trifluoroethane;354-58-5;CFC-113a;CCl3CF3;55;0.241;1.24E-10;5110;3.51E-10;3930;4.22E-10;1350;1.73E-12;4030;9.17E-13;2320;;
1,2-dichloro-1,1,2,2-tetrafluoroethane;76-14-2;CFC-114;CClF2CClF2;189;0.314;2.01E-10;8260;8.44E-10;9430;1.93E-09;6150;4.27E-12;9990;3.71E-12;9410;;
1,1-dichloro-1,2,2,2-tetrafluoroethane;374-07-2;CFC-114a;CCl2FCF3;105;0.297;1.83E-10;7510;6.64E-10;7420;1.08E-09;3450;3.37E-12;7880;2.46E-12;6240;;
1-chloro-1,1,2,2,2-pentafluoroethane;76-15-3;CFC-115;CClF2CF3;540;0.246;1.80E-10;7410;8.59E-10;9600;3.10E-09;9880;4.30E-12;10100;4.33E-12;11000;;
(1s,2s)-1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane;3832-15-3;E-R316c;trans cyc (-CClFCF2CF2CClF-);75;0.27;1.17E-10;4810;3.79E-10;4230;5.18E-10;1650;1.91E-12;4450;1.20E-12;3040;;
(1r,2s)-1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane;3934-26-7;Z-R316c;cis cyc (-CClFCF2CF2CClF-);114;0.3;1.36E-10;5590;5.07E-10;5660;8.65E-10;2760;2.57E-12;6020;1.94E-12;4910;;
(e)-1,2-dichloro-1,2-difluoroethene;598-88-9;CFC 1112;CClF=CClF;0.019;0.013;1.11E-14;0.454;1.13E-14;0.126;1.13E-14;0.036;1.18E-17;0.028;8.96E-18;0.023;12.9;15.3
1,1-dichloro-2,2-difluoroethene;79-35-6;CFC 1112a;CCl2=CF2;0.006;0.007;1.84E-15;0.076;1.88E-15;0.021;1.88E-15;0.006;1.97E-18;0.005;1.49E-18;0.004;2.16;2.55
Dichlorofluoromethane;75-43-4;HCFC-21;CHCl2F;1.7;0.145;1.40E-11;575;1.43E-11;160;1.43E-11;45.6;1.52E-14;35.5;1.14E-14;29;16300;19400
Chlorodifluoromethane;75-45-6;HCFC-22;CHClF2;11.9;0.214;1.39E-10;5690;1.75E-10;1960;1.76E-10;560;3.36E-13;785;1.49E-13;379;192000;234000
Chlorofluoromethane;593-70-4;HCFC-31;CH2ClF;1.2;0.068;6.96E-12;286;7.11E-12;79.4;7.11E-12;22.6;7.52E-15;17.6;5.67E-15;14.4;8130;9630
1,1,2,2-tetrachloro-1-fluoroethane;354-14-3;HCFC-121;CHCl2CCl2F;1.11;0.146;5.11E-12;210;5.22E-12;58.3;5.22E-12;16.6;5.52E-15;12.9;4.16E-15;10.5;5970;7070
1,2,2-trichloro-1,1-difluoroethane;354-21-2;HCFC-122;CHCl2CClF2;0.9;0.159;4.94E-12;203;5.05E-12;56.4;5.05E-12;16.1;5.33E-15;12.5;4.03E-15;10.2;5780;6850
1,1,2-trichloro-1,2-difluoroethane;354-15-4;HCFC-122a;CHClFCCl2F;3.1;0.201;2.14E-11;879;2.19E-11;245;2.19E-11;69.9;2.36E-14;55.3;1.76E-14;44.7;25000;29600
2,2-dichloro-1,1,1-trifluoroethane;306-83-2;HCFC-123;CHCl2CF3;1.3;0.16;7.92E-12;325;8.09E-12;90.4;8.09E-12;25.8;8.57E-15;20;6.46E-15;16.4;9260;11000
1,2-dichloro-1,1,2-trifluoroethane;354-23-4;HCFC-123a;CHClFCClF2;4;0.227;3.42E-11;1410;3.53E-11;395;3.53E-11;113;3.85E-14;90;2.85E-14;72.3;40200;47700
2-chloro-1,1,1,2-tetrafluoroethane;2837-89-0;HCFC-124;CHClFCF3;5.9;0.207;5.03E-11;2070;5.34E-11;597;5.34E-11;170;6.12E-14;143;4.35E-14;110;60500;71900
1-chloro-1,1,2,2-tetrafluoroethane;354-25-6;HCFC-124a;CHF2CClF2;17;0.25;1.24E-10;5110;1.85E-10;2070;1.86E-10;592;5.21E-13;1220;1.77E-13;448;192000;244000
