"Year","Cao","Xi","Huang","Average"
1930,,2.423840,2.376554,
1931,1.473764,2.422581,2.844659,2.164691
1932,1.391062,2.144004,2.248111,1.965502
1933,1.441586,2.171506,2.251722,1.999568
1934,1.719034,2.584091,2.650796,2.353761
1935,2.000986,2.961955,3.027057,2.655342
1936,2.374699,2.804542,2.914890,3.049549
1937,2.571819,3.682184,3.749863,3.360060
1938,2.747130,3.984383,4.067772,3.536784
1939,2.812746,4.312493,4.427064,3.725435
1940,2.688013,3.891824,4.044153,3.593063
1941,2.882603,4.105195,4.258955,3.841985
1942,2.669124,3.837489,4.007423,3.660943
1943,2.552546,3.653679,3.783096,3.505154
1944,2.106833,3.137830,3.276066,2.859177
1945,1.972772,2.835637,2.979391,2.609825
1946,2.460387,3.561107,3.675189,3.276653
1947,2.849203,4.135045,4.238136,3.750799
1948,3.344474,4.839179,4.942248,4.390901
1949,3.812088,5.494878,5.602082,5.007610
1950,4.395703,6.315516,6.439897,5.726181
1951,4.964845,7.083708,7.224898,6.540575
1952,5.417057,7.748495,7.908891,7.144251
1953,6.032281,8.580248,8.757420,7.834298
1954,6.622100,9.457042,9.659290,8.566059
1955,7.330961,10.463712,10.696449,9.436969
1956,8.001645,11.413007,11.676180,10.285718
1957,8.548175,12.219811,12.495178,10.947968
1958,9.155768,13.069857,13.384749,12.080806
1959,10.207389,14.552973,14.876905,13.422795
1960,11.140840,15.884449,16.223262,14.642637
1961,11.837368,16.869625,17.257980,15.615360
1962,12.753414,18.196198,18.606320,16.747010
1963,13.548159,19.311602,19.757810,17.818609
1964,14.821206,21.169931,21.618764,19.487750
1965,15.629102,22.330606,22.836059,20.532104
1966,16.784950,23.961649,24.500616,22.035198
1967,17.622111,25.105011,25.691066,23.113855
1968,18.884898,26.909837,27.534391,24.712219
1969,20.017078,28.566341,29.246905,26.169346
1970,21.229038,30.317114,31.029581,27.733453
1971,22.942842,31.449600,32.256804,29.442299
1972,24.478262,34.873302,35.661860,31.215900
1973,26.190409,37.229838,38.148767,33.593512
1974,26.762413,38.093327,39.089561,34.312049
1975,27.304456,38.921256,39.884502,34.625223
1976,29.289343,40.900371,41.753693,36.993470
1977,30.912555,43.989806,44.861117,38.822476
1978,33.029319,47.063045,47.982611,41.363740
1979,34.150738,48.783225,49.770933,42.667138
1980,35.172401,49.833047,51.206171,43.716565
1981,35.892700,51.123535,52.194490,44.374974
1982,36.621567,51.998229,53.059524,44.910709
1983,37.840914,53.728640,54.766393,46.106053
1984,39.000309,55.081082,56.419303,47.416243
1985,40.132969,56.682445,57.951908,48.517518
1986,42.023781,59.270699,60.709847,50.302549
1987,43.963281,61.900597,63.518070,52.350960
1988,46.597242,65.630020,67.210244,54.950758
1989,48.320538,63.266343,65.189798,56.775603
1990,49.316127,63.644891,62.935809,57.645124
1991,50.451909,70.660314,68.602952,59.286251
1992,52.737122,70.663774,67.853463,61.980431
1993,55.339435,77.374031,73.465617,64.762512
1994,58.548838,83.383144,77.201204,68.138602
1995,61.833362,87.657020,81.184048,71.323599
1996,64.520142,90.755972,83.907096,74.291646
1997,66.771292,94.366809,87.193841,77.053152
1998,67.700723,95.875728,87.793602,78.040185
1999,70.309223,99.636382,90.715831,80.723031
2000,73.200312,103.729728,93.873564,83.438738
2001,74.220468,109.208251,97.998334,86.315711
2002,78.632163,115.002126,102.413776,90.883604
2003,85.337654,124.315097,109.212377,97.629224
2004,91.649681,133.811249,116.480107,104.102810
2005,98.240249,143.076102,124.081688,111.207969
2006,107.114515,157.635399,134.922440,120.674473
2007,113.832933,168.911366,146.903025,129.992477
2008,115.715157,173.326629,153.606344,135.391435
2009,124.016433,186.573489,159.008339,142.564446
2010,131.957376,202.256652,168.600918,152.219571
2011,144.122503,218.565054,181.315668,163.509472
2012,151.325546,231.976174,187.153815,171.370723
2013,161.393477,245.151755,193.064970,181.213320
2014,167.699905,,202.164317,187.245879
2015,,,205.421709,189.520789
2016,,,207.703116,192.173709
2017,,,212.198095,195.180340
2018,,,218.962675,199.661237
2019,,,222.705199,209.573859
2020,,,228.532414,213.648250
2021,,,239.143572,224.417152
2022,,,,220.895925
2023,,,,227.370673
2024,,,,224.290503
2025,,,,208.496385
